For Eczema | Vaseline Intensive Care | Advance Repair | Healing Moisture Lotion,₱590,7,gilbertow16,https://shopee.ph/For-Eczema-Vaseline-Intensive-Care-Advance-Repair-Healing-Moisture-Lotion-i.334231169.7081781378,https://cf.shopee.ph/file/b9eb4f564e01a02d606b90bd7bd9f5e7
Vaseline Nicotinamide Whitening Body Lotion Skin care Healthy White Body Lotion Lightening 400ML,₱148,124,lqh574599,https://shopee.ph/Vaseline-Nicotinamide-Whitening-Body-Lotion-Skin-care-Healthy-White-Body-Lotion-Lightening-400ML-i.448898928.10107241957,https://cf.shopee.ph/file/104781d06d1c6f26a2d76319007d63bc
"VASELINE Big Baby 368g 100% pure petroleum jelly skin Protectant (Diaper rash, Sensitive & Dryskin,)",₱189,249,needzone_01,https://shopee.ph/VASELINE-Big-Baby-368g-100-pure-petroleum-jelly-skin-Protectant-(Diaper-rash-Sensitive-Dryskin-)-i.279240068.4748290458,https://cf.shopee.ph/file/42588b0edfa6c02ddec9bea034e5499e
VASELINE Lotion 350ml,₱290,19,jammie2004,https://shopee.ph/VASELINE-Lotion-350ml-i.32314117.9738264406,https://cf.shopee.ph/file/16a6a405b20a075b8dffd703297c97f2
"Korea Vaseline Intensive Care Healthy Hands Stronger Nails Lotion,60ml, imported from Korea",₱217,1,k2koreanboutique,https://shopee.ph/Korea-Vaseline-Intensive-Care-Healthy-Hands-Stronger-Nails-Lotion-60ml-imported-from-Korea-i.54173063.10303563024,https://cf.shopee.ph/file/9b4cb74c3ca9a078d3b12c8c16dd15b5
Vaseline lips Vaseline lip therapy lipbalm,₱9,37K,superstore888,https://shopee.ph/Vaseline-lips-Vaseline-lip-therapy-lipbalm-i.34884022.1044091321,https://cf.shopee.ph/file/d9a969a85cf8db270f8c3ffa9e4c9b31
Vaseline Lip Therapy Rosy Lips Mini 7g,₱9,11.8K,houshopping,https://shopee.ph/Vaseline-Lip-Therapy-Rosy-Lips-Mini-7g-i.26080148.1874442207,https://cf.shopee.ph/file/937d4241abfcbd0e73bbf04516914358
VASELINE ROSY LIPS THERAPHY,₱9,17.9K,nikinikl,https://shopee.ph/VASELINE-ROSY-LIPS-THERAPHY-i.36989942.851576455,https://cf.shopee.ph/file/60f6d63605ec9e6fcf76146f14e51ff5
Vaseline lips smoothen theraphy,₱9,1.6K,nikinikl,https://shopee.ph/Vaseline-lips-smoothen-theraphy-i.36989942.874367677,https://cf.shopee.ph/file/54e9e0af8ed538aa8b9cc88fd7491419
Vaseline lips vaseline lip therapy lipbalm,₱8,11.6K,samchanstore,https://shopee.ph/Vaseline-lips-vaseline-lip-therapy-lipbalm-i.31233419.755793863,https://cf.shopee.ph/file/19b3ad6340dd3c19de6a524534817287
