Vaseline Body Lotion Healthy White Spf 24 350ml x2,₱599.00,1258 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-body-lotion-healthy-white-spf-24-350ml-x2-i641114738-s1808098394.html?spm=a2o4l.searchlist.list.1.1bad11b7VV4qvN&search=1&freeshipping=1,//ph-test-11.slatic.net/p/fb0b9bf2f194679123d72fef2c3b8740.jpg
Vaseline Lip Therapy Lip Balm Rosy Lips 7g,₱100.00,5781 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-lip-therapy-lip-balm-rosy-lips-7g-i161597056-s197645948.html?spm=a2o4l.searchlist.list.3.1bad11b7INWhQ4&search=1,//ph-test-11.slatic.net/p/bad6fcbbdc383a2bebc0933e772e6bfa.jpg
Vaseline Foot Cream 55ml,₱135.20,2906 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-foot-cream-55ml-i621294633-s1724134416.html?spm=a2o4l.searchlist.list.5.1bad11b7Cl3s1Z&search=1,//ph-test-11.slatic.net/p/53d5900b9b4ee502b703c24048970619.jpg
Vaseline Body Lotion Deep Restore 400ml X2,₱443.00,2534 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-body-lotion-deep-restore-400ml-x2-i641788224-s1810572432.html?spm=a2o4l.searchlist.list.7.1bad11b7TnN8Mt&search=1,//ph-test-11.slatic.net/p/0e1091969eb55da10e1b846d84fda438.jpg
Vaseline Healthy Bright Instant Radiance 350ml 2s SPECIAL OFFER,₱599.00,1228 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-healthy-bright-instant-radiance-350ml-2s-special-offer-i641142449-s1808112113.html?spm=a2o4l.searchlist.list.9.1bad11b7QNv2UU&search=1&freeshipping=1,//ph-test-11.slatic.net/p/473b38a81418b824300da86f7908a26d.jpg
Vaseline Body Lotion Fresh & Fair 350ml x2,₱579.00,1883 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-body-lotion-fresh-fair-350ml-x2-i641164158-s1808082491.html?spm=a2o4l.searchlist.list.11.1bad11b7WXtJS8&search=1&freeshipping=1,//ph-test-11.slatic.net/p/c763955bf1666c76b7148230854f4570.jpg
Vaseline Petroleum Jelly 100g x2,₱197.00,983 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-petroleum-jelly-100g-x2-i641232887-s1808780070.html?spm=a2o4l.searchlist.list.13.1bad11b7Tn1s5h&search=1,//ph-test-11.slatic.net/p/5b3dda3b99c881aa7b1b48f7fd9fad26.png
VASELINE Body Lotion SPF10 Whitening Niacinamide Healthy Even Tone Permanent Whitening Lotion UV Lightening Hydrating Anti Aging Moisturizing Smoothing Skin Care 400ML,₱165.00,795 Ratings,Another Day,https://www.lazada.com.ph/products/vaseline-body-lotion-spf10-whitening-niacinamide-healthy-even-tone-permanent-whitening-lotion-uv-lightening-hydrating-anti-aging-moisturizing-smoothing-skin-care-400ml-i1791321656-s7609662417.html?spm=a2o4l.searchlist.list.15.1bad11b7faT3Q8&search=1,//ph-test-11.slatic.net/p/ec56bd9a6457a508b72526f8b43ca18a.jpg
Vaseline Intensive Care Lotion Deep Restore 400ml,₱222.00,565 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-intensive-care-lotion-deep-restore-400ml-i147298034-s172405701.html?spm=a2o4l.searchlist.list.17.1bad11b7HY9mF8&search=1,//ph-test-11.slatic.net/p/d91013d0c4d98561daf53a480db93d5f.jpg
Vaseline Daily Sun Cream 50ml,₱263.20,478 Ratings,Unilever Beauty,https://www.lazada.com.ph/products/vaseline-daily-sun-cream-50ml-i621264863-s1724114319.html?spm=a2o4l.searchlist.list.19.1bad11b7S5OpBa&search=1,//ph-test-11.slatic.net/p/9b2617341a44a1afbd9bb2b92737fb89.jpg
